usename,auid,desig,vrah,vram,vras,vded,vdem,vdes,vspec,vvmag,vbmv,cname,crah,cram,cras,cded,cdem,cdes,cvmag,cbmv,kname,krah,kram,kras,kded,kdem,kdes,kvmag,deltabmv
IN HYA,000-BBQ-445,0915+00,9,20,36.6831,0,10,54.136,M3,6.5,1.7,SAO 136844,9,26,22.3089,-1,27,50.682,6.005,1.32,SAO 136840,9,26,3.8099,-1,14,5.784,6.576,0.38
NSV 4506,000-BCZ-790,0923+63,9,31,31.7081,63,3,42.699,F0IV,3.662,0.329,HR 3648,9,14,20.5406,61,25,23.943,5.169,0.578,HR 3403,8,40,12.8186,64,19,40.57,4.6,-0.249
NSV 4510,000-BBQ-492,0925+35,9,31,32.4103,35,6,11.782,M1III,5.386,1.52,HR 3764,9,30,43.2187,33,39,20.558,5.849,1.046,HR 3815,9,35,39.5023,35,48,36.481,5.409,0.474
LAM LEO,000-BCZ-793,0926+23,9,31,43.2281,22,58,4.694,K5III,4.314,1.539,HR 3731,9,24,39.2591,26,10,56.367,4.463,1.223,HR 3627,9,9,21.5337,22,2,43.604,5.149,0.316
NSV 18227,000-BBQ-499,,9,31,58.9,-1,11,5,A3V,4.563,0.103,HD 79469,9,14,21.9,2,18,52,3.885,-0.063,HD 79910,9,16,41.7,-6,21,11,5.234,0.166
NSV 4545,000-BBQ-574,0930+31,9,36,42.8521,31,9,42.244,M2III,5.573,1.572,HR 3850,9,41,35.116,31,16,40.142,5.896,1.579,HR 3764,9,30,43.2187,33,39,20.558,5.849,-0.007
PSI LEO,000-BBQ-673,0938+14,9,43,43.9046,14,1,18.091,M2III,5.358,1.604,HR 3877,9,46,23.3279,11,48,36.155,5.633,1.489,HR 3896,9,51,1.9846,13,3,58.46,6.472,0.115
SY UMA,000-BCX-402,0949+50,9,55,43,49,49,11,A3III,5.28,0.07,HD 82328,9,32,51.4,51,40,38,3.175,0.462,HD 82621,9,34,49.4,52,3,5,4.501,-0.392
PI LEO,000-BBR-082,0954+08,10,0,12.8066,8,2,39.203,M2III,4.692,1.6,HR 3980,10,7,54.2708,9,59,51.028,4.374,1.442,HR 3926,9,56,25.9763,8,55,59.366,5.845,0.158
ETA LEO,000-BBR-183,,10,7,20,16,45,46,A0Ib,3.49,-0.026,HD 87901,10,8,22.3,11,58,2,1.357,-0.112,HD 86360,9,58,13.4,12,26,41,5.26,0.086
U UMA,000-BCX-399,1008+60,10,15,7.6671,59,59,7.942,M0IIIv,6.225,1.61,HR 4052,10,20,31.1493,54,13,0.62,6.005,1.128,HR 4051,10,20,14.7925,53,46,45.807,6.45,0.482
NSV 4829,000-BBR-433,1016+42,10,22,19.7406,41,29,58.259,M0III,3.05,1.582,HR 4067,10,22,10.5621,41,13,46.308,5.78,0.53,HR 4132,10,33,13.8883,40,25,32.016,4.747,1.052
RHO LEO,000-BCW-222,1027+09,10,32,48.7,9,18,24,B1IbSB,3.847,-0.142,HD 87901,10,8,22.3,11,58,2,1.357,-0.112,HD 86360,9,58,13.4,12,26,41,5.26,-0.030
NSV 4936,000-BBR-584,1035+66,10,41,56.5517,65,42,58.607,K2III,5.12,1.205,HR 4176,10,41,48.2585,68,26,36.599,5.749,1.304,HR 4181,10,43,4.0399,69,4,34.37,5,-0.099
RX LMI,000-BCW-226,1036+32,10,42,11.2674,31,41,49.191,M2III,5.997,1.617,HR 4258,10,55,44.3844,33,30,24.943,5.024,1.1,HR 4256,10,54,58.1795,34,2,5.272,5.72,0.517
V519 CAR,000-BBR-590,,10,42,40.6,-59,12,57,B2.5Ia,5.38,0.256,HD 90853,10,27,52.7,-58,44,22,3.816,0.312,HD 97534,11,12,36.0,-60,19,3,4.602,-0.056
ETA CAR,000-BBR-655,1041-59,10,45,3.591,-59,41,4.26,LBv...,6.207,0.613,SAO 238242,10,36,20.5183,-59,33,51.813,5.075,1.175,SAO 238483,10,47,44.3171,-59,52,30.926,6.47,-0.562
