usename,auid,desig,vrah,vram,vras,vded,vdem,vdes,vspec,vvmag,vbmv,cname,crah,cram,cras,cded,cdem,cdes,cvmag,cbmv,kname,krah,kram,kras,kded,kdem,kdes,kvmag,deltabmv
ALF PEG,000-BCR-177,,23,4,45.7,15,12,18,A0IV,2.483,-0.04,HD 215648,22,46,41.6,12,10,22,4.197,0.502,HD 221115,23,29,9.3,12,45,38,4.550,-0.542
KX AND,000-BCR-216,2302+49,23,7,6.2127,50,11,32.489,Bpe,7.02,0.336,SAO 52713,23,7,45.3841,49,17,44.793,5.68,0.417,SAO 52707,23,7,18,46,4,5.337,6.661,-0.081
V342 PEG,000-BCR-221,2302+20,23,7,28.715,21,8,3.302,A5V,5.98,0.255,HD 217715,23,2,21.0535,23,20,25.811,6.84,0.05,HD 218261,23,6,31.8854,19,54,39.07,6.437,0.205
SZ PSC,000-BCR-327,2308+02,23,13,23.7857,2,40,31.582,K1IV-V+...,7.4,0.83,SAO 128034,23,12,38.5903,2,41,10.397,7.713,0.624,SAO 128043,23,13,28.3829,0,55,50.064,7.534,0.206
KHI AQR,000-BCR-358,2311-08,23,16,50.9395,-7,43,35.413,M3III,5.017,1.606,SAO 146598,23,15,53.4947,-9,5,15.853,4.231,1.107,SAO 146652,23,20,40.8874,-5,54,28.711,6.165,0.499
NSV 14484,000-BCR-363,2313+48C,23,17,44.647,49,0,55.079,M2III,4.827,1.657,HR 8874,23,19,29.8082,48,37,31.16,5.432,1.034,HD 218031,23,04,11.0,50,03,08,4.657,0.623
DR TUC,000-BDC-654,2317-60,23,22,56.7754,-60,3,21.034,M3III,6.082,1.607,HR 8829,23,14,6.5865,-62,42,0.013,6.117,0.795,HR 8843,23,16,57.687,-62,0,4.313,5.655,0.812
HW PEG,000-BCW-706,2328+21,23,33,28.0937,22,29,55.589,M5III,5.333,1.588,HR 8922,23,29,5.6776,23,2,53.101,6.44,1.1,HR 8839,23,14,36.4919,24,6,10.433,6.34,0.488
NSV 26113,000-BDC-676,2330+24,23,35,55.9421,24,33,39.644,M1III,6.455,1.714,HR 8922,23,29,5.6776,23,2,53.101,6.44,1.1,HR 8839,23,14,36.4919,24,6,10.433,6.34,0.614
LAM AND,000-BCR-733,2332+45,23,37,33.8425,46,27,29.347,G8III,3.81,1.005,SAO 53355,23,46,2.047,46,25,12.99,4.99,1.111,SAO 53270,23,41,5.4413,46,13,5.742,6.99,-0.106
NSV 14679,000-BCR-886,2338+09,23,43,22.3594,10,19,53.53,M2III,5.052,1.684,HR 8923,23,29,9.2959,12,45,37.993,4.539,0.938,HR 8893,23,23,4.5685,12,18,50.077,5.095,0.746
TX PSC,000-BCR-950,2341+02,23,46,23.5165,3,29,12.519,CII...,5.084,2.567,SAO 128427,23,51,57.8388,2,55,49.384,5.558,1.536,SAO 128310,23,39,57.0409,5,37,34.65,4.124,1.031
V566 CAS,000-BCS-000,,23,48,50.2,62,12,52,A3eqIa-0,5.442,0.674,HD 224893,0,1,37.0,61,13,22,5.548,0.422,HD 1239,0,16,57.0,61,32,0,5.729,0.252
HH PEG,000-BCW-700,2346+08,23,51,21.2487,9,18,48.063,M3III,5.789,1.658,HR 8923,23,29,9.2959,12,45,37.993,4.539,0.938,HR 8893,23,23,4.5685,12,18,50.077,5.095,0.72
SAO 91548,000-BDC-699,2347+21,23,52,23.3905,21,40,15.958,M2III,6.123,1.598,HR 8922,23,29,5.6776,23,2,53.101,6.44,1.1,HR 8839,23,14,36.4919,24,6,10.433,6.34,0.498
PHI PEG,000-BDC-698,2347+18,23,52,29.2882,19,7,13.033,M2III,5.086,1.593,HR 9055,23,56,41.5012,22,38,53.129,6.161,1.607,HR 9035,23,52,23.3905,21,40,15.958,6.123,-0.014
RHO CAS,000-BCS-075,2349+56,23,54,23.0324,57,29,57.776,G2Ia0e,4.47,1.133,HD 219134,23,13,17.0,57,10,6,5.567,0.994,HD 223165,23,47,3.5,58,39,7,4.869,0.139
XZ PSC,000-BCS-081,2349-00,23,54,46.6233,0,6,33.511,M5III,5.678,1.6,SAO 128393,23,48,49.3657,2,12,51.888,6.459,0.444,SAO 128427,23,51,57.8388,2,55,49.384,5.558,1.156
II PEG,000-BCS-087,2350+28,23,55,4.053,28,38,1.239,K0V...,7.44,1.018,SAO 91503,23,48,35.0336,28,22,15.711,7.03,1.46,SAO 91568,23,54,29.6901,29,38,17.674,8.52,-0.442
NSV 26170,000-BDC-705,2351+22,23,56,41.5012,22,38,53.129,M2III,6.161,1.607,HR 8922,23,29,5.6776,23,2,53.101,6.44,1.1,HR 8839,23,14,36.4919,24,6,10.433,6.34,0.507
V1022 CAS,000-BCS-142,,23,57,8.5,55,42,21,F1/6V+F3V,5.56,0.476,HD 224893,0,1,37.0,61,13,22,5.584,0.422,HD 218470,23,7,45.4,49,17,45,5.680,0.054
